अ,ə
अठखेलपना,ə ʈʰ kʰ eː l p ə n ɑː
अठखेली,ə ʈʰ kʰ eː l iː
अठन्नी,ə ʈʰ ə n n iː
अठल,ə ʈʰ ə l
अठवारा,ə ʈʰ ʋ ɑː ɾ ɑː
अठहत्तर,ə ʈʰ ɦ ə t̪ t̪ ə ɾ
अठारह,ə ʈʰ ɑː ɾ ə ɦ
अठारहवाँ,ə ʈʰ ɑː ɾ ə ɦ ʋ ɑː ~
अठेल,ə - ʈʰ eː l
अठौड़ी,ə ʈʰ ɔː ɽ iː
अड़ँग-तड़ँग,ə ɽ ə ŋ g - t̪ ə ɽ ə ŋ g
अड़ँग-बड़ँग,ə ɽ ə ŋ g - b ə ɽ ə ŋ g
अड़ंगा,ə ɽ ə ŋ g ɑː
अड़,ə ɽ
अड़गोड़ा,ə ɽ g oː ɽ ɑː
अड़चन,ə ɽ t͡ʃ ə n
अड़चल,ə ɽ t͡ʃ ə l
अड़ड़ाना,ə ɽ ɽ ɑː n ɑː
अड़तालीस,ə ɽ t̪ ɑː l iː s
अड़तीस,ə ɽ t̪ iː s
अड़ना,ə ɽ n ɑː
अड़प-झड़प,ə ɽ ə p - d͡ʒʱ ə ɽ ə p
अड़बंगा,ə ɽ b ə ŋ g ɑː
अड़बंद,ə ɽ b ə n d̪
अडर-उडर,ə ɖ ə ɾ - ʊ ɖ ə ɾ
अड़वा,ə ɽ ʋ ɑː
अड़वाड़,ə ɽ ʋ ɑː ɽ
अडसट्टा,ə ɖ s ə ʈ ʈ ɑː
अड़सठ,ə ɽ s ə ʈʰ
अड़हाया,ə ɽ ɦ ɑː j ɑː
अड़हुल,ə ɽ ɦ ʊ l
अड़ा,ə ɽ ɑː
अड़ाड़,ə ɽ ɑː ɽ
अड़ाड़,ə ɽ ɑː ɽ
अड़ाना,ə ɽ ɑː n ɑː
अड़ार,ə ɽ ɑː ɾ
अड़ार,ə ɽ ɑː ɾ
अड़ारी,ə ɽ ɑː ɾ iː
अडिग,ə - ɖ ɪ g
अड़ियल,ə ɽ ɪ j ə l
अड़ी,ə ɽ iː
अड़ुआ,ə ɽ ʊ ɑː
अड़ूसा,ə ɽ uː s ɑː
अड़ैंच,ə ɽ ɛː n t͡ʃ
अडोल,ə - ɖ oː l
अड़ोस-पड़ोस,ə ɽ oː s - p ə ɽ oː s
अड़ोसी-पड़ोसी,ə ɽ oː s iː - p ə ɽ oː s iː
अढ़तिया,ə ɽʱ ə t̪ ɪ j ɑː
अड्डा,ə ɖ ɖ ɑː
अढ़ाई,ə ɽʱ ɑː iː
अढाना,ə ɖʱ ɑː n ɑː
अढ़िया,ə ɽʱ ɪ j ɑː
अढ़ैया,ə ɽʱ ɛː j ɑː
अढ़ौना,ə ɽʱ ɔː n ɑː
अणि,ə n ɪ
अणिमा,ə n ɪ m ɑː
अणु,ə n ʊ
अणुक,ə n ʊ k
-अत,- ə t̪
अत-,ə t̪ -
अतत्ताही,ə t̪ ə t̪ t̪ ɑː ɦ iː
अतनु,ə - t̪ ə n ʊ
अतर,ə t̪ ə ɾ
अतरपाल,ə t̪ ə ɾ p ɑː l
अतरसों,ə t̪ ə ɾ s oː ~
अतर्क,ə - t̪ ə ɾ k
अतर्क्य,ə - t̪ ə ɾ k j ə
अतल,ə - t̪ ə l
अतलस,ə t̪ l ə s
अतलसी,ə t̪ l ə s iː
अतसी,ə t̪ s iː
अता,ə t̪ ɑː
आताई,ə t̪ ɑː iː
अताई,ə t̪ ɑː iː
अता-पता,ə t̪ ɑː - p ə t̪ ɑː
अति,ə t̪ ɪ
अतिकाय,ə t̪ ɪ - k ɑː j
अतिकाल,ə t̪ ɪ - k ɑː l
अतिक्रमण,ə t̪ ɪ - k ɾ ə m ə n
अतिचार,ə t̪ ɪ - t͡ʃ ɑː ɾ
अतिजीवन,ə t̪ ɪ - d͡ʒ iː ʋ ə n
अतिजीवित,ə t̪ ɪ - d͡ʒ iː ʋ ɪ t̪
अतिजीवी,ə t̪ ɪ - d͡ʒ iː ʋ iː
अतिथि,ə t̪ ɪ t̪ʰ ɪ
अतिदान,ə t̪ ɪ - d̪ ɑː n
अतिपातक,ə t̪ ɪ - p ɑː t̪ ə k
अतिबल,ə t̪ ɪ - b ə l
अतिबार,ə t̪ ɪ - b ɑː ɾ
अतिबेल,ə t̪ ɪ - b eː l
अतिभार,ə t̪ ɪ - bʱ ɑː ɾ
अतिरंजन,ə t̪ ɪ - ɾ ə n ə n
अतिरंजित,ə t̪ ɪ - ɾ ə n ɪ t̪
अतिरिक्त,ə t̪ ɪ - ɾ ɪ k t̪
अतिरेक,ə t̪ ɪ - ɾ eː k
अतिरोग,ə t̪ ɪ - ɾ oː g
अतिवक्ता,ə t̪ ɪ - ʋ ə k t̪ ɑː
अतिवाद,ə t̪ ɪ - ʋ ɑː d̪
अतिवादी,ə t̪ ɪ - ʋ ɑː d̪ iː
अतिवानी,ə t̪ ɪ ʋ ɑː n iː
अतिविष,ə t̪ ɪ - ʋ ɪ ʃ
अतिशय,ə t̪ ɪ - ʃ ə j
अतिशयता,ə t̪ ɪ - ʃ ə j ə t̪ ɑː
अतिशयी,ə t̪ ɪ - ʃ ə j iː
अतिशीत,ə t̪ ɪ - ʃ iː t̪
अतिशीतन,ə t̪ ɪ - ʃ iː t̪ ə n
अतिसार,ə t̪ ɪ - s ɑː ɾ
अतींद्रिय,ə t̪ iː n d̪ ɾ ɪ j ə
अतीत,ə t̪ iː t̪
अतीत-,ə t̪ iː t̪ -
अतीव,ə t̪ iː ʋ
अतीस,ə t̪ iː s
अतुरा-,ə t̪ ʊ ɾ ɑː -
अतुराई,ə t̪ ʊ ɾ ɑː iː
अतुल,ə - t̪ ʊ l
अतुलनीय,ə - t̪ ʊ l ə n iː j ə
अतुलित,ə - t̪ ʊ l ɪ t̪
अतुल्य,ə - t̪ ʊ l j ə
अतृप्त,ə - t̪ ɾ ɪ p t̪
अतृप्ति,ə - t̪ ɾ ɪ p t̪ ɪ
अतोल,ə - t̪ oː l
अत्तार,ə t̪ t̪ ɑː ɾ
अत्तारी,ə t̪ t̪ ɑː ɾ iː
अत्यंत,ə t̪ j - ə n t̪
अत्यंतता,ə t̪ j - ə n t̪ ə t̪ ɑː
अत्यधिक,ə t̪ j - ə d̪ʱ ɪ k
अत्यधिकता,ə t̪ j - ə d̪ʱ ɪ k ə t̪ ɑː
अत्यय,ə t̪ j - ə j
अत्यर्थ,ə t̪ j - ə ɾ t̪ʰ
अत्यल्प,ə t̪ j - ə l p
अत्याचार,ə t̪ j - ɑː - t͡ʃ ɑː ɾ
अत्याचारी,ə t̪ j - ɑː - t͡ʃ ɑː ɾ iː
अत्यानंद,ə t̪ j - ɑː - n ə n d̪
अत्यावश्यक,ə t̪ j - ɑː ʋ ə ʃ j ə k
अत्युक्ति,ə t̪ j - ʊ k t̪ ɪ
अत्युत्तम,ə t̪ j - ʊ t̪ t̪ ə m
अथ,ə t̪ʰ
अथक,ə - t̪ʰ ə k
अथमना,ə t̪ʰ ə m n ɑː
अथर्वनी,ə t̪ʰ ə ɾ ʋ ə n iː
अथव-,ə t̪ʰ ə ʋ ə -
अथवा,ə t̪ʰ ə ʋ ɑː
अथाई,ə t̪ʰ ɑː iː
अथाह,ə - t̪ʰ ɑː ɦ
अथित,ə - t̪ʰ ɪ t̪
आथिर,ə - t̪ʰ ɪ ɾ
अदंड,ə - d̪ ə n ɖ
अदंडनीय,ə - d̪ ə n ɖ ə n iː j ə
अदंड्य,ə - d̪ ə n ɖ j ə
अदत्त,ə - d̪ ə t̪ t̪
अदद,ə d̪ ə d̪
अदना,ə d̪ n ɑː
अदब,ə d̪ ə b
अदबदकर,ə d̪ b ə d̪ k ə ɾ
अदबदाना,ə d̪ b ə d̪ ɑː n ɑː
अदम,ə d̪ ə m
अदम्य,ə - d̪ ə m j ə
अदय,ə - d̪ ə j
अदरक,ə d̪ ɾ ə k
अदरकी,ə d̪ ɾ ə k iː
अदरख,ə d̪ ɾ ə kʰ
अदरावन,ə d̪ ɾ ɑː ʋ ə n
अदर्श,ə - d̪ ə ɾ ʃ
अदर्शन,ə - d̪ ə ɾ ʃ ə n
अदल,ə d̪ ə l
अदल-बदल,ə d̪ ə l - b ə d̪ ə l
अदला-बदला,ə d̪ l ɑː - b ə d̪ l ɑː
अदला-बदली,ə d̪ l ɑː - b ə d̪ l iː
अदली-बदली,ə d̪ l iː - b ə d̪ l iː
अदवाइन,ə d̪ ʋ ɑː ɪ n
अदवान,ə d̪ ʋ ɑː n
अदहन,ə d̪ ɦ ə n
अदा,ə d̪ ɑː
अदाता,ə - d̪ ɑː t̪ ɑː
अदानी,ə - d̪ ɑː n iː
अदायगी,ə d̪ ɑː j g iː
अदालत,ə d̪ ɑː l ə t̪
अदालती,ə d̪ ɑː l ə t̪ iː
अदावत,ə d̪ ɑː ʋ ə t̪
अदावती,ə d̪ ɑː ʋ ə t̪ iː
अदिति,ə - d̪ ɪ t̪ ɪ
अदिन,ə - d̪ ɪ n
अदिष्ट,ə - d̪ ɪ ʃ ʈ
आदिस्टि,ə - d̪ ɪ s ʈ ɪ
अदृढ़,ə - d̪ ɾ ɪ ɽʱ
अदृश्य,ə - d̪ ɾ ɪ ʃ j ə
अदृश्यता,ə - d̪ ɾ ɪ ʃ j ə t̪ ɑː
अदृष्ट,ə - d̪ ɾ ɪ ʃ ʈ
अदेय,ə - d̪ eː j
अदेस,ə d̪ eː s
अदोष,ə - d̪ oː ʃ
अदौड़ी,ə d̪ ɔː ɽ iː
अदौरी,ə d̪ ɔː ɾ iː
अद्धा,ə d̪ d̪ʱ ɑː
अद्धी,ə d̪ d̪ʱ iː
अद्भुत,ə d̪ bʱ ʊ t̪
अद्भुतत्व,ə d̪ bʱ ʊ t̪ ə t̪ ʋ ə
अद्य,ə d̪ j ə
अद्यतन,ə d̪ j ə t̪ ə n
अद्रि,ə d̪ ɾ ɪ
अद्रोह,ə - d̪ ɾ oː ɦ
अद्रोही,ə - d̪ ɾ oː ɦ iː
अद्वितीय,ə - d̪ ʋ ɪ t̪ iː j ə
अद्वेष,ə - d̪ ʋ eː ʃ
अद्वेषी,ə - d̪ ʋ eː ʃ iː
अद्वैत,ə - d̪ ʋ ɛː t̪
अधः-,ə d̪ʱ ə ɦ -
अध-,ə d̪ʱ -
अध-,ə d̪ʱ -
अधन,ə - d̪ʱ ə n
अधन्ना,ə d̪ʱ ə n n ɑː
अधम,ə d̪ʱ ə m
अधमता,ə d̪ʱ ə m ə t̪ ɑː
अधर,ə - d̪ʱ ə ɾ
अधर,ə d̪ʱ ə ɾ
अधर्म,ə - d̪ʱ ə ɾ m
अधर्मपना,ə - d̪ʱ ə ɾ m p ə n ɑː
अधर्मिष्ठ,ə - d̪ʱ ə ɾ m ɪ ʃ ʈʰ
अधर्मी,ə - d̪ʱ ə ɾ m iː
अधस्-,ə d̪ʱ ə s -
अधारी,ə d̪ʱ ɑː ɾ iː
अधारी,ə - d̪ʱ ɑː ɾ iː
अधार्मिक,ə - d̪ʱ ɑː ɾ m ɪ k
अधि-,ə d̪ʱ ɪ -
अधिक,ə d̪ʱ ɪ k
अधिकतम,ə d̪ʱ ɪ k ə t̪ ə m
अधिकतर,ə d̪ʱ ɪ k ə t̪ ə ɾ
अधिकता,ə d̪ʱ ɪ k ə t̪ ɑː
अधिकरण,ə d̪ʱ ɪ - k ə ɾ ə n
अधिकर्मी,ə d̪ʱ ɪ - k ə ɾ m iː
अधिका-,ə d̪ʱ ɪ k ɑː -
अधिकाई,ə d̪ʱ ɪ k ɑː iː
अधिकार,ə d̪ʱ ɪ - k ɑː ɾ
अधिकारक,ə d̪ʱ ɪ - k ɑː ɾ ə k
अधिकारिक,ə d̪ʱ ɪ - k ɑː ɾ ɪ k
अधिकारिणी,ə d̪ʱ ɪ - k ɑː ɾ ɪ n iː
अधिकारी,ə d̪ʱ ɪ - k ɑː ɾ iː
अधिकारी,ə d̪ʱ ɪ - k ɑː ɾ iː
अधिकृत,ə d̪ʱ ɪ - k ɾ ɪ t̪
अधिकृति,ə d̪ʱ ɪ - k ɾ ɪ t̪ ɪ
अधिगत,ə d̪ʱ ɪ - g ə t̪
अधिगम,ə d̪ʱ ɪ - g ə m
अधिगमन,ə d̪ʱ ɪ - g ə m ə n
अधिग्रहण,ə d̪ʱ ɪ - g ɾ ə ɦ ə n
अधित्यका,ə d̪ʱ ɪ t̪ j ə k ɑː
अधिदेश,ə d̪ʱ ɪ - d̪ eː ʃ
अधिदैविक,ə d̪ʱ ɪ - d̪ ɛː ʋ ɪ k
अधिनायक,ə d̪ʱ ɪ - n ɑː j ə k
अधिनायकत्व,ə d̪ʱ ɪ - n ɑː j ə k ə t̪ ʋ ə
अधिनियम,ə d̪ʱ ɪ - n ɪ - j ə m
अधिनियमन,ə d̪ʱ ɪ - n ɪ - j ə m ə n
अधिनियमित,ə d̪ʱ ɪ - n ɪ - j ə m ɪ t̪
अधिप,ə d̪ʱ ɪ - p
अधिपति,ə d̪ʱ ɪ - p ə t̪ ɪ
अधिपत्र,ə d̪ʱ ɪ - p ə t̪ ɾ ə
अधिप्रमाणित,ə d̪ʱ ɪ - p ɾ ə - m ɑː n ɪ t̪
अधिभार,ə d̪ʱ ɪ - bʱ ɑː ɾ
अधिभौतिक,ə d̪ʱ ɪ - bʱ ɔː t̪ ɪ k
अधिमत,ə d̪ʱ ɪ - m ə t̪
अधिमान,ə d̪ʱ ɪ - m ɑː n
अधिमास,ə d̪ʱ ɪ - m ɑː s
अधिया,ə d̪ʱ ɪ j ɑː
अधियाना,ə d̪ʱ ɪ j ɑː n ɑː
अधियार,ə d̪ʱ ɪ j ɑː ɾ
अधियारी,ə d̪ʱ ɪ j ɑː ɾ iː
अधिराज,ə d̪ʱ ɪ - ɾ ɑː d͡ʒ
अधिराज्य,ə d̪ʱ ɪ - ɾ ɑː d͡ʒ j ə
अधिरोपण,ə d̪ʱ ɪ - ɾ oː p ə n
अधिरोपित,ə d̪ʱ ɪ - ɾ oː p ɪ t̪
अधिवक्ता,ə d̪ʱ ɪ - ʋ ə k t̪ ɑː
अधिवर्ष,ə d̪ʱ ɪ - ʋ ə ɾ ʃ
अधिवास,ə d̪ʱ ɪ - ʋ ɑː s
अधिवासी,ə d̪ʱ ɪ - ʋ ɑː s iː
अधिवेशन,ə d̪ʱ ɪ - ʋ eː ʃ ə n
अधिशासी,ə d̪ʱ ɪ - ʃ ɑː s iː
अधिशेष,ə d̪ʱ ɪ - ʃ eː ʃ
अधिष्ठाता,ə d̪ʱ ɪ - ʃ ʈʰ ɑː t̪ ɑː
अधिष्ठात्री,ə d̪ʱ ɪ - ʃ ʈʰ ɑː t̪ ɾ iː
अधिष्ठान,ə d̪ʱ ɪ - ʃ ʈʰ ɑː n
अधिष्ठित,ə d̪ʱ ɪ - ʃ ʈʰ ɪ t̪
अधिसंख्य,ə d̪ʱ ɪ - s ə ~ - kʰ j ə
अधिसूचना,ə d̪ʱ ɪ - s uː t͡ʃ ə n ɑː
अधिसूचित,ə d̪ʱ ɪ - s uː t͡ʃ ɪ t̪
अधीक्षक,ə d̪ʱ iː k ʃ ə k
अधीक्षण,ə d̪ʱ iː k ʃ ə n
अधीत,ə d̪ʱ iː t̪
अधीन,ə d̪ʱ iː n
अधीनता,ə d̪ʱ iː n ə t̪ ɑː
अधीनीकरण,ə d̪ʱ iː n iː k ə ɾ ə n
अधीर,ə - d̪ʱ iː ɾ
अधीरज,ə d̪ʱ iː ɾ ə d͡ʒ
अधीरता,ə - d̪ʱ iː ɾ ə t̪ ɑː
अधीश,ə d̪ʱ iː ʃ
अधिश्वर,ə d̪ʱ iː ʃ ʋ ə ɾ
अधुना,ə d̪ʱ ʊ n ɑː
अधूरा,ə d̪ʱ uː ɾ ɑː
अधेड़,ə d̪ʱ eː ɽ
अधेड़पना,ə d̪ʱ eː ɽ p ə n ɑː
अधेला,ə d̪ʱ eː l ɑː
अधेली,ə d̪ʱ eː l iː
अधैर्य,ə - d̪ʱ ɛː ɾ j ə
अधो-,ə d̪ʱ oː -
अधोतर,ə d̪ʱ oː t̪ ə ɾ
अधौड़ी,ə d̪ʱ ɔː ɽ iː
अध्यक्ष,ə d̪ʱ j - ə k ʃ
अध्यक्षता,ə d̪ʱ j - ə k ʃ ə t̪ ɑː
अध्यक्षत्व,ə d̪ʱ j - ə k ʃ ə t̪ ʋ ə
अध्यक्षा,ə d̪ʱ j - ə k ʃ ɑː
अध्ययन,ə d̪ʱ j - ə j ə n
अध्ययनीय,ə d̪ʱ j - ə j ə n iː j ə
अध्यवसाय,ə d̪ʱ j - ə ʋ ə - s ɑː j
अध्यवसायी,ə d̪ʱ j - ə ʋ ə - s ɑː j iː
अध्यात्म,ə d̪ʱ j - ɑː t̪ m
अध्यात्मिक,ə d̪ʱ j - ɑː t̪ m ɪ k
अध्यादेश,ə d̪ʱ j - ɑː - d̪ eː ʃ
अध्यापक,ə d̪ʱ j - ɑː p ə k
अध्यापकी,ə d̪ʱ j - ɑː p ə k iː
अध्यापन,ə d̪ʱ j - ɑː p ə n
अध्यापिका,ə d̪ʱ j - ɑː p ɪ k ɑː
अध्याय,ə d̪ʱ j - ɑː j
अध्यारोप,ə d̪ʱ j - ɑː - ɾ oː p
अध्यारोपण,ə d̪ʱ j - ɑː - ɾ oː p ə n
अध्यारोपित,ə d̪ʱ j - ɑː - ɾ oː p ɪ t̪
अध्यास,ə d̪ʱ j - ɑː s
अध्यासीन,ə d̪ʱ j - ɑː s iː n
अध्याहार,ə d̪ʱ j - ɑː - ɦ ɑː ɾ
अध्याहुत,ə d̪ʱ j - ɑː - ɦ ɾ ɪ t̪
अध्येता,ə d̪ʱ j - eː t̪ ɑː
अध्येय,ə d̪ʱ j - eː j
अध्रुव,ə - d̪ʱ ɾ ʊ ʋ
अन-,ə n -
अनंग,ə n - ə ŋ g
अनंगी,ə n - ə ŋ g iː
अनंगीकरण,ə n - ə ŋ g iː k ə ɾ ə n
अनंगीकार,ə n - ə ŋ g iː k ɑː ɾ
अनंत,ə n - ə n t̪
अनंतता,ə n - ə n t̪ ə t̪ ɑː
अनंतिम,ə n - ə n t̪ ɪ m
अनंतर,ə n - ə n t̪ ə ɾ
अनंतरित,ə n - ə n t̪ ə ɾ ɪ t̪
अनंतरीय,ə n - ə n t̪ ə ɾ iː j ə
अनंतर्हित,ə n - ə n t̪ ə ɾ - ɦ ɪ t̪
अनंत्य,ə n - ə n t̪ j ə
अनंद,ə n ə n d̪
अनंश,ə n - ə n ʃ
-अन,- ə n
-अन,- ə n
-अन,- ə n
अनकना,ə n k ə n ɑː
अनक्षर,ə n - ə k ʃ ə ɾ
अनख,ə n ə kʰ
अनखा-,ə n kʰ ɑː -
अनखाहट,ə n kʰ ɑː ɦ ə ʈ
अनखी,ə n kʰ iː
अनगढ़,ə n - g ə ɽʱ
अनगढ़त,ə n - g ə ɽʱ ə t̪
अनगढ़पन,ə n - g ə ɽʱ p ə n
अनगढ़पना,ə n - g ə ɽʱ p ə n ɑː
अनगणित,ə n - g ə n ɪ t̪
अनगिनत,ə n - g ɪ n ə t̪
अनगिना,ə n - g ɪ n ɑː
अनगी,ə n g iː
अनघ,ə n - ə gʱ
अनघड़,ə n - gʱ ə ɽ
अनघड़त,ə n - gʱ ə ɽ ə t̪
अनघड़पन,ə n - gʱ ə ɽ p ə n
अनघड़पना,ə n - gʱ ə ɽ p ə n ɑː
अनचाहत,ə n - t͡ʃ ɑː ɦ ə t̪
अनचाहा,ə n - t͡ʃ ɑː ɦ ɑː
अनचित,ə n - t͡ʃ ɪ t̪
अनचित्ता,ə n - t͡ʃ ɪ t̪ t̪ ɑː
अनचीत,ə n - t͡ʃ iː t̪
अनचीता,ə n - t͡ʃ iː t̪ ɑː
अनचेना,ə n t͡ʃ eː n ɑː
अनछीला,ə n - t͡ʃʰ iː l ɑː
अनछेड़,ə n - t͡ʃʰ eː ɽ
अनजना,ə n - d͡ʒ ə n ɑː
अनजाई,ə n - d͡ʒ ɑː iː
अनजान,ə n - d͡ʒ ɑː n
अनजानत,ə n - d͡ʒ ɑː n ə t̪
अनजाना,ə n - d͡ʒ ɑː n ɑː
अनजानी,ə n - d͡ʒ ɑː n iː
अनजामा,ə n - d͡ʒ ɑː m ɑː
अनझिप,ə n - d͡ʒʱ ɪ p
अनट,ə n ə ʈ
अनत,ə n ə t̪
अनदेखा,ə n - d̪ eː kʰ ɑː
अनदेखी,ə n - d̪ eː kʰ iː
अनधिकार,ə n - ə d̪ʱ ɪ - k ɑː ɾ
अनन्नास,ə n ə n n ɑː s
अनन्नासी,ə n ə n n ɑː s iː
अनन्य,ə n - ə n j ə
अनन्यता,ə n - ə n j ə t̪ ɑː
अनपच,ə n - p ə t͡ʃ
अनपढ़,ə n - p ə ɽʱ
अनपढ़ता,ə n - p ə ɽʱ t̪ ɑː
अनपढ़ा,ə n - p ə ɽʱ ɑː
अनपराध,ə n - ə p ə - ɾ ɑː d̪ʱ
अनपराधी,ə n - ə p ə - ɾ ɑː d̪ʱ iː
अनपरिचय,ə n - p ə ɾ ɪ - t͡ʃ ə j
अनपाय,ə n - ə p ɑː j
अनपायी,ə n - ə p ɑː j iː
अनपेक्ष,ə n - ə p eː k ʃ
अनपेक्षा,ə n - ə p eː k ʃ ɑː
अनपेक्षित,ə n - ə p eː k ʃ ɪ t̪
अनपेक्ष्य,ə n - ə p eː k ʃ j ə
अनप्रतीती,ə n - p ɾ ə t̪ iː t̪ iː
अनबन,ə n b ə n
अनबन,ə n b ə n
अनबिंधा,ə n - b ɪ n d̪ʱ ɑː
अनबूझ,ə n - b uː d͡ʒʱ
अनबेधा,ə n - b eː d̪ʱ ɑː
अनबोल,ə n - b oː l
अनबोला,ə n - b oː l ɑː
अनबोया,ə n - b oː j ɑː
अनब्याहा,ə n - b j ɑː ɦ ɑː
अनभल,ə n - bʱ ə l
अनभला,ə n - bʱ ə l ɑː
अनभाया,ə n - bʱ ɑː j ɑː
अनभिज्ञ,ə n - ə bʱ ɪ - g j ə
अनभिज्ञता,ə n - ə bʱ ɪ - g j ə t̪ ɑː
अनभिलाष,ə n - ə bʱ ɪ - l ɑː ʃ
अनभिलाषी,ə n - ə bʱ ɪ - l ɑː ʃ iː
अनमन,ə n - m ə n
अनमना,ə n - m ə n ɑː
अनमनाना,ə n m ə n ɑː n ɑː
अनमनापन,ə n - m ə n ɑː p ə n
अनमनाहट,ə n - m ə n ɑː ɦ ə ʈ
अनमिल,ə n - m ɪ l
अनमेल,ə n - m eː l
अनमोल,ə n - m oː l
अनरखा,ə n - ɾ ə kʰ ɑː
अनरस,ə n - ɾ ə s
अंनरीति,ə n - ɾ iː t̪ ɪ
अनर्गल,ə n - ə ɾ g ə l
अनर्थ,ə n - ə ɾ t̪ʰ
अनर्थक,ə n - ə ɾ t̪ʰ ə k
अनर्थकारी,ə n - ə ɾ t̪ʰ k ɑː ɾ iː
अनर्थी,ə n - ə ɾ t̪ʰ iː
अनर्हता,ə n - ə ɾ ɦ ə t̪ ɑː
अनल,ə n ə l
अनलसित,ə n - ə l ə s ɪ t̪
अनवकाश,ə n - ə ʋ ə - k ɑː ʃ
अनवट,ə n ʋ ə ʈ
अनवट,ə n ʋ ə ʈ
अनवद्य,ə n - ə - ʋ ə d̪ j ə
अनवधान,ə n - ə ʋ ə - d̪ʱ ɑː n
अनवधानता,ə n - ə ʋ ə - d̪ʱ ɑː n ə t̪ ɑː
अनवधि,ə n - ə ʋ ə - d̪ʱ ɪ
अनवरत,ə n - ə ʋ ə - ɾ ə t̪
अनवरोध,ə n - ə ʋ ə - ɾ oː d̪ʱ
अनवसर,ə n - ə ʋ ə - s ə ɾ
अनवस्थ,ə n - ə ʋ ə - s t̪ʰ
अनवस्था,ə n - ə ʋ ə - s t̪ʰ ɑː
अनवस्थित,ə n - ə ʋ ə - s t̪ʰ ɪ t̪
अनवाँसा,ə n ʋ ɑː n s ɑː
अनवाँसी,ə n ʋ ɑː n s iː
अनशन,ə n - ə ʃ ə n
अनश्वर,ə - n ə ʃ ʋ ə ɾ
अनसमझ,ə n - s ə m ə d͡ʒʱ
अनसिखा,ə n - s ɪ kʰ ɑː
अनसुन,ə n - s ʊ n
अनसुना,ə n - s ʊ n ɑː
अनसुनी,ə n - s ʊ n iː
अनसूय,ə n - ə s uː j ə
अनसोच,ə n - s oː t͡ʃ
अनसोचा,ə n - s oː t͡ʃ ɑː
अनहंकार,ə n - ə ɦ ə ~ k ɑː ɾ
अनहित,ə n - ɦ ɪ t̪
अनहितू,ə n ɦ ɪ t̪ uː
अनहोता,ə n - ɦ oː t̪ ɑː
अनहोना,ə n - ɦ oː n ɑː
अनहोनी,ə n - ɦ oː n iː
अनाकानी,ə n ɑː k ɑː n iː
अनाकार,ə n - ɑː - k ɑː ɾ
अनाक्रमण,ə n - ɑː - k ɾ ə m ə n
अनाक्रांत,ə n - ɑː - k ɾ ɑː n t̪
अनाक्रांता,ə n - ɑː - k ɾ ɑː n t̪ ɑː
अनागत,ə n - ɑː - g ə t̪
अनागति,ə n - ɑː - g ə t̪ ɪ
अनागम,ə n - ɑː - g ə m
अनागम्य,ə n - ɑː - g ə m j ə
अनाचरण,ə n - ɑː - t͡ʃ ə ɾ ə n
अनाचार,ə n - ɑː - t͡ʃ ɑː ɾ
अनाचारिता,ə n - ɑː - t͡ʃ ɑː ɾ ɪ t̪ ɑː
अनाचारी,ə n - ɑː - t͡ʃ ɑː ɾ iː
अनाचित,ə n ɑː t͡ʃ ɪ t̪
अनाचिती,ə n ɑː t͡ʃ ɪ t̪ iː
अनाज,ə n ɑː d͡ʒ
अनाजी,ə n ɑː d͡ʒ iː
अनाड़ी,ə n ɑː ɽ iː
अनाड़ीपन,ə n ɑː ɽ iː p ə n
अनाड़ीपना,ə n ɑː ɽ iː p ə n ɑː
अनातुर,ə n - ɑː t̪ ʊ ɾ
अनात्म,ə n - ɑː t̪ m ə
अनात्मक,ə n - ɑː t̪ m ə k
अनाथ,ə - n ɑː t̪ʰ
अनाद,ə n ɑː d̪
अनादर,ə n - ɑː - d̪ ə ɾ
अनादरण,ə n - ɑː - d̪ ə ɾ ə n
अनादरणीय,ə n - ɑː - d̪ ə ɾ ə n iː j ə
अनादरित,ə n - ɑː - d̪ ə ɾ ɪ t̪
अनादि,ə n - ɑː d̪ ɪ
अनादिता,ə n - ɑː d̪ ɪ t̪ ɑː
अनादित्व,ə n - ɑː d̪ ɪ t̪ ʋ ə
अनादृत,ə n - ɑː - d̪ ɾ ɪ t̪
अनानास,ə n ɑː n ɑː s
अनाप-शनाप,ə n ɑː p - ʃ ə n ɑː p
अनाम,ə - n ɑː m
अनामक,ə - n ɑː m ə k
अनामय,ə n - ɑː m ə j
अनामिका,ə - n ɑː m ɪ k ɑː
अनायक,ə - n ɑː j ə k
अनायास,ə n - ɑː - j ɑː s
अनायासिक,ə n - ɑː - j ɑː s ɪ k
अनार,ə n ɑː ɾ
अनारपन,ə n ɑː ɾ p ə n
अनारी,ə n ɑː ɾ iː
अनावरण,ə n - ɑː - ʋ ə ɾ ə n
अनावर्ती,ə n - ɑː - ʋ ə ɾ t̪ iː
अनावृ+ष्टि,ə n - ɑː - ʋ ɾ ɪ - ʃ ʈ ɪ
अनावृत,ə n - ɑː - ʋ ɾ ɪ t̪
अनावृत्त,ə n - ɑː - ʋ ɾ ɪ t̪ t̪
अनावृत्ति,ə n - ɑː - ʋ ɾ ɪ t̪ t̪ ɪ
अनाश्य,ə - n ɑː ʃ j ə
अनाहत,ə n - ɑː - ɦ ə t̪
अनाहार,ə n - ɑː - ɦ ɑː ɾ
अनाहारी,ə n - ɑː - ɦ ɑː ɾ iː
अनिंदनीय,ə - n ɪ n d̪ ə n iː j ə
